Model,frame,Prompt_Style,Sample_Size,ev_a,p_a,ev_b,p_b,y_a,y_b,x_a,x_b,ratio_a_False,ratio_a_True,n_valid_False,n_valid_True,average_first_option_rate,n_valid_total
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,3500,1,3750,0.75,0,0,3500,5000,0.6,0,10,10,0.8,20
anthropic/claude-haiku-4.5,gain,math_reasoning_one,100,3500,1,3900,0.78,0,0,3500,5000,0.5,0,10,10,0.75,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,0.4,0.1,0.35,0.05,0,0,4,7,0.8,0,10,10,0.9,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,0.8,0.2,0.7,0.1,0,0,4,7,0.9,0,20,20,0.95,40
anthropic/claude-haiku-4.5,gain,no_explanation,20,1.6,0.4,0.35,0.05,0,0,4,7,1,0,10,10,1,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,30,0.3,28.8,0.3,0,0,100,96,0.9,0,10,10,0.95,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,35,0.35,33.6,0.35,0,0,100,96,0.6,0,10,10,0.8,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,35,0.35,38.4,0.4,0,0,100,96,0.4,0.5,10,10,0.45,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,40,0.4,33.6,0.35,0,0,100,96,0.7,0,10,10,0.85,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,3500,1,2750,0.55,0,0,3500,5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,3500,1,3500,0.7,0,0,3500,5000,0.1,0,10,10,0.55,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,3500,1,3750,0.75,0,0,3500,5000,0,0,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,no_explanation,20,3500,1,4250,0.85,0,0,3500,5000,0,0,10,9,0.5,19
anthropic/claude-haiku-4.5,gain,no_explanation,100,0.6,0.15,0.84,0.12,0,0,4,7,0,1,10,10,0,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,0.8,0.2,0.7,0.1,0,0,4,7,1,0.3,10,10,0.85,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,0.88,0.22,0.56,0.08,0,0,4,7,0.9,0,10,10,0.95,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,0.96,0.24,0.77,0.11,0,0,4,7,0.6,0,10,10,0.8,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,29,0.29,32.64,0.34,0,0,100,96,0.4,0.6,10,10,0.4,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,33,0.33,32.64,0.34,0,0,100,96,1,0.3,10,10,0.85,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,37,0.37,37.44,0.39,0,0,100,96,1,0.7,10,10,0.65,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,39,0.39,30.72,0.32,0,0,100,96,0.9,0.1,10,10,0.9,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,3500,1,3600,0.72,0,0,3500,5000,0.6,0,10,9,0.8,19
anthropic/claude-haiku-4.5,gain,no_explanation,100,3500,1,3650,0.73,0,0,3500,5000,0.8,0,10,10,0.9,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,3500,1,3750,0.75,0,0,3500,5000,0.9,0,10,10,0.95,20
anthropic/claude-haiku-4.5,gain,no_explanation,100,3500,1,3900,0.78,0,0,3500,5000,0.1,0.1,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,0.4,0.1,0.35,0.05,0,0,4,7,1,1,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,0.8,0.2,0.7,0.1,0,0,4,7,0.95,0.3,20,20,0.825,40
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,1.6,0.4,0.35,0.05,0,0,4,7,1,0.1,10,10,0.95,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,30,0.3,28.8,0.3,0,0,100,96,0.5,0.4,10,10,0.55,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,35,0.35,33.6,0.35,0,0,100,96,1,0,10,10,1,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,35,0.35,38.4,0.4,0,0,100,96,1,0.7,10,10,0.65,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,40,0.4,33.6,0.35,0,0,100,96,1,0.5,10,10,0.75,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,3500,1,2750,0.55,0,0,3500,5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,3500,1,3500,0.7,0,0,3500,5000,0.8,0,10,10,0.9,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,3500,1,3750,0.75,0,0,3500,5000,0.3,0,10,10,0.65,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,20,3500,1,4250,0.85,0,0,3500,5000,0,0,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,0.6,0.15,0.84,0.12,0,0,4,7,1,1,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,0.8,0.2,0.7,0.1,0,0,4,7,1,1,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,0.88,0.22,0.56,0.08,0,0,4,7,0.8,1,10,10,0.4,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,0.96,0.24,0.77,0.11,0,0,4,7,1,1,10,10,0.5,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,29,0.29,32.64,0.34,0,0,100,96,1,0.1,10,10,0.95,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,33,0.33,32.64,0.34,0,0,100,96,1,0.8,10,10,0.6,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,37,0.37,37.44,0.39,0,0,100,96,1,0.6,10,10,0.7,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,39,0.39,30.72,0.32,0,0,100,96,1,0,10,10,1,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,3500,1,3600,0.72,0,0,3500,5000,0.8,0,10,10,0.9,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,3500,1,3650,0.73,0,0,3500,5000,0.7,0,10,10,0.85,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,3500,1,3750,0.75,0,0,3500,5000,0.6,0,10,10,0.8,20
anthropic/claude-haiku-4.5,gain,one_sentence_reasoning,100,3500,1,3900,0.78,0,0,3500,5000,0.1,0,10,10,0.55,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-0.4,0.1,-0.35,0.05,0,0,-4,-7,0.4444444444444444,1,9,10,0.2222222222222222,19
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-0.8,0.2,-0.7,0.1,0,0,-4,-7,0.4210526315789473,0.75,19,20,0.3355263157894737,39
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-1.6,0.4,-0.35,0.05,0,0,-4,-7,0.4,1,10,10,0.2,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-30,0.3,-28.8,0.3,0,0,-100,-96,0.2,0.9,10,10,0.15,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-35,0.35,-33.6,0.35,0,0,-100,-96,0,0.7,10,10,0.15,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-35,0.35,-38.4,0.4,0,0,-100,-96,0.5,0.2,10,10,0.65,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-40,0.4,-33.6,0.35,0,0,-100,-96,0.3,0.8,10,10,0.2499999999999999,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-3500,1,-2750,0.55,0,0,-3500,-5000,0.5,1,10,10,0.25,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-3500,1,-3500,0.7,0,0,-3500,-5000,1,0.9,10,10,0.55,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-3500,1,-3750,0.75,0,0,-3500,-5000,1,0.1,10,10,0.95,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,20,-3500,1,-4250,0.85,0,0,-3500,-5000,1,0.3,10,10,0.85,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-0.6,0.15,-0.84,0.12,0,0,-4,-7,1,0.7,10,10,0.65,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-0.8,0.2,-0.7,0.1,0,0,-4,-7,0.3,0.8,10,10,0.2499999999999999,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-0.88,0.22,-0.56,0.08,0,0,-4,-7,0.4,0.2,10,10,0.6000000000000001,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-0.96,0.24,-0.77,0.11,0,0,-4,-7,0.7,0.7,10,10,0.5,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-29,0.29,-32.64,0.34,0,0,-100,-96,0.1,1,10,10,0.05,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-33,0.33,-32.64,0.34,0,0,-100,-96,0.1,0.9,10,10,0.1,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-37,0.37,-37.44,0.39,0,0,-100,-96,0,1,10,10,0,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-39,0.39,-30.72,0.32,0,0,-100,-96,0.1,1,10,10,0.05,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-3500,1,-3600,0.72,0,0,-3500,-5000,1,1,10,10,0.5,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-3500,1,-3650,0.73,0,0,-3500,-5000,0.9,0,10,10,0.95,20
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-3500,1,-3750,0.75,0,0,-3500,-5000,1,0.6666666666666666,10,9,0.6666666666666667,19
anthropic/claude-haiku-4.5,loss,math_reasoning_one,100,-3500,1,-3900,0.78,0,0,-3500,-5000,1,0.3,10,10,0.85,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-0.4,0.1,-0.35,0.05,0,0,-4,-7,0.1,0.7,10,10,0.2,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-0.8,0.2,-0.7,0.1,0,0,-4,-7,0,0.75,20,20,0.125,40
anthropic/claude-haiku-4.5,loss,no_explanation,20,-1.6,0.4,-0.35,0.05,0,0,-4,-7,0,1,10,10,0,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-30,0.3,-28.8,0.3,0,0,-100,-96,0,0.9,10,10,0.05,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-35,0.35,-33.6,0.35,0,0,-100,-96,0,0.9,10,10,0.05,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-35,0.35,-38.4,0.4,0,0,-100,-96,0.2,0.4,10,10,0.4,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-40,0.4,-33.6,0.35,0,0,-100,-96,0,0.8,10,10,0.1,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-3500,1,-2750,0.55,0,0,-3500,-5000,0,0.3,10,10,0.35,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-3500,1,-3500,0.7,0,0,-3500,-5000,0.9,0.1,10,10,0.9,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-3500,1,-3750,0.75,0,0,-3500,-5000,0.9,0,10,10,0.95,20
anthropic/claude-haiku-4.5,loss,no_explanation,20,-3500,1,-4250,0.85,0,0,-3500,-5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-0.6,0.15,-0.84,0.12,0,0,-4,-7,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-0.8,0.2,-0.7,0.1,0,0,-4,-7,0,0.6,10,10,0.2,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-0.88,0.22,-0.56,0.08,0,0,-4,-7,0,0.7,10,10,0.15,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-0.96,0.24,-0.77,0.11,0,0,-4,-7,0.1,1,10,10,0.05,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-29,0.29,-32.64,0.34,0,0,-100,-96,0.3,0.4,10,10,0.4499999999999999,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-33,0.33,-32.64,0.34,0,0,-100,-96,0.1,0.1,10,10,0.5,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-37,0.37,-37.44,0.39,0,0,-100,-96,0.1,0.2,10,10,0.45,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-39,0.39,-30.72,0.32,0,0,-100,-96,0,0.9,10,10,0.05,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-3500,1,-3600,0.72,0,0,-3500,-5000,0.9,0.1,10,10,0.9,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-3500,1,-3650,0.73,0,0,-3500,-5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-3500,1,-3750,0.75,0,0,-3500,-5000,0.9,0.2,10,10,0.8500000000000001,20
anthropic/claude-haiku-4.5,loss,no_explanation,100,-3500,1,-3900,0.78,0,0,-3500,-5000,1,0.1,10,10,0.95,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-0.4,0.1,-0.35,0.05,0,0,-4,-7,0,1,10,10,0,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-0.8,0.2,-0.7,0.1,0,0,-4,-7,0.3,0.75,20,20,0.275,40
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-1.6,0.4,-0.35,0.05,0,0,-4,-7,0.1,0.7,10,10,0.2,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-30,0.3,-28.8,0.3,0,0,-100,-96,0,0.7,10,10,0.15,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-35,0.35,-33.6,0.35,0,0,-100,-96,0.6,1,10,10,0.3,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-35,0.35,-38.4,0.4,0,0,-100,-96,0.3,0.9,10,10,0.1999999999999999,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-40,0.4,-33.6,0.35,0,0,-100,-96,0,0.3,10,10,0.35,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-3500,1,-2750,0.55,0,0,-3500,-5000,0,0.6,10,10,0.2,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-3500,1,-3500,0.7,0,0,-3500,-5000,1,0.4,10,10,0.8,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-3500,1,-3750,0.75,0,0,-3500,-5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,20,-3500,1,-4250,0.85,0,0,-3500,-5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-0.6,0.15,-0.84,0.12,0,0,-4,-7,1,0.4,10,10,0.8,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-0.8,0.2,-0.7,0.1,0,0,-4,-7,0,0.8,10,10,0.1,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-0.88,0.22,-0.56,0.08,0,0,-4,-7,0.3,0.4,10,10,0.4499999999999999,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-0.96,0.24,-0.77,0.11,0,0,-4,-7,0.9,0.2,10,10,0.8500000000000001,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-29,0.29,-32.64,0.34,0,0,-100,-96,0,1,10,10,0,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-33,0.33,-32.64,0.34,0,0,-100,-96,0,1,10,10,0,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-37,0.37,-37.44,0.39,0,0,-100,-96,0.2,1,10,10,0.1,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-39,0.39,-30.72,0.32,0,0,-100,-96,0,1,10,10,0,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-3500,1,-3600,0.72,0,0,-3500,-5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-3500,1,-3650,0.73,0,0,-3500,-5000,1,0,10,10,1,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-3500,1,-3750,0.75,0,0,-3500,-5000,0.9,0.9,10,10,0.5,20
anthropic/claude-haiku-4.5,loss,one_sentence_reasoning,100,-3500,1,-3900,0.78,0,0,-3500,-5000,1,0,10,10,1,20
deepseek/deepseek-chat,gain,math_reasoning_one,20,0.4,0.1,0.35,0.05,0,0,4,7,1,0.1,10,10,0.95,20
deepseek/deepseek-chat,gain,math_reasoning_one,20,0.8,0.2,0.7,0.1,0,0,4,7,1,0.5,20,20,0.75,40
deepseek/deepseek-chat,gain,math_reasoning_one,20,1.6,0.4,0.35,0.05,0,0,4,7,1,0.1111111111111111,10,9,0.9444444444444444,19
deepseek/deepseek-chat,gain,math_reasoning_one,20,30,0.3,28.8,0.3,0,0,100,96,0.9,0.1,10,10,0.9,20
deepseek/deepseek-chat,gain,math_reasoning_one,20,35,0.35,33.6,0.35,0,0,100,96,1,0.3,10,10,0.85,20
deepseek/deepseek-chat,gain,math_reasoning_one,20,35,0.35,38.4,0.4,0,0,100,96,0.2,0.7777777777777778,10,9,0.2111111111111111,19
deepseek/deepseek-chat,gain,math_reasoning_one,20,40,0.4,33.6,0.35,0,0,100,96,1,0.2,9,10,0.9,19
deepseek/deepseek-chat,gain,math_reasoning_one,20,3500,1,2750,0.55,0,0,3500,5000,1,0,9,10,1,19
deepseek/deepseek-chat,gain,math_reasoning_one,20,3500,1,3500,0.7,0,0,3500,5000,1,0,10,10,1,20
deepseek/deepseek-chat,gain,math_reasoning_one,20,3500,1,3750,0.75,0,0,3500,5000,0.2222222222222222,0.5,9,10,0.3611111111111111,19
deepseek/deepseek-chat,gain,math_reasoning_one,20,3500,1,4250,0.85,0,0,3500,5000,0.1,0.8,10,10,0.1499999999999999,20
deepseek/deepseek-chat,gain,math_reasoning_one,100,0.6,0.15,0.84,0.12,0,0,4,7,0.1,1,10,10,0.05,20
deepseek/deepseek-chat,gain,math_reasoning_one,100,0.8,0.2,0.7,0.1,0,0,4,7,0.8888888888888888,0.7777777777777778,9,9,0.5555555555555556,18
deepseek/deepseek-chat,gain,math_reasoning_one,100,0.88,0.22,0.56,0.08,0,0,4,7,1,0.7,9,10,0.65,19
deepseek/deepseek-chat,gain,math_reasoning_one,100,0.96,0.24,0.77,0.11,0,0,4,7,0.7,0.4444444444444444,10,9,0.6277777777777778,19
deepseek/deepseek-chat,gain,math_reasoning_one,100,29,0.29,32.64,0.34,0,0,100,96,0.3,0.7,10,10,0.3,20
deepseek/deepseek-chat,gain,math_reasoning_one,100,33,0.33,32.64,0.34,0,0,100,96,1,0.7142857142857143,10,7,0.6428571428571428,17
deepseek/deepseek-chat,gain,math_reasoning_one,100,37,0.37,37.44,0.39,0,0,100,96,1,0.8,10,10,0.6,20
deepseek/deepseek-chat,gain,math_reasoning_one,100,39,0.39,30.72,0.32,0,0,100,96,1,0.4,10,10,0.8,20
deepseek/deepseek-chat,gain,math_reasoning_one,100,3500,1,3600,0.72,0,0,3500,5000,1,0.1,10,10,0.95,20
deepseek/deepseek-chat,gain,math_reasoning_one,100,3500,1,3650,0.73,0,0,3500,5000,0.1,0.5555555555555556,10,9,0.2722222222222222,19
deepseek/deepseek-chat,gain,math_reasoning_one,100,3500,1,3750,0.75,0,0,3500,5000,0.9,0,10,10,0.95,20
deepseek/deepseek-chat,gain,math_reasoning_one,100,3500,1,3900,0.78,0,0,3500,5000,0.2222222222222222,0.4,9,10,0.4111111111111111,19
deepseek/deepseek-chat,gain,no_explanation,20,0.4,0.1,0.35,0.05,0,0,4,7,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,20,0.8,0.2,0.7,0.1,0,0,4,7,1,0.85,20,20,0.575,40
deepseek/deepseek-chat,gain,no_explanation,20,1.6,0.4,0.35,0.05,0,0,4,7,1,0.9,10,10,0.55,20
deepseek/deepseek-chat,gain,no_explanation,20,30,0.3,28.8,0.3,0,0,100,96,1,0.5,10,10,0.75,20
deepseek/deepseek-chat,gain,no_explanation,20,35,0.35,33.6,0.35,0,0,100,96,1,0.9,10,10,0.55,20
deepseek/deepseek-chat,gain,no_explanation,20,35,0.35,38.4,0.4,0,0,100,96,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,20,40,0.4,33.6,0.35,0,0,100,96,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,20,3500,1,2750,0.55,0,0,3500,5000,1,0,10,10,1,20
deepseek/deepseek-chat,gain,no_explanation,20,3500,1,3500,0.7,0,0,3500,5000,1,0.2,10,10,0.9,20
deepseek/deepseek-chat,gain,no_explanation,20,3500,1,3750,0.75,0,0,3500,5000,1,0.4,10,10,0.8,20
deepseek/deepseek-chat,gain,no_explanation,20,3500,1,4250,0.85,0,0,3500,5000,1,0.9,10,10,0.55,20
deepseek/deepseek-chat,gain,no_explanation,100,0.6,0.15,0.84,0.12,0,0,4,7,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,100,0.8,0.2,0.7,0.1,0,0,4,7,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,100,0.88,0.22,0.56,0.08,0,0,4,7,1,0.7,10,10,0.65,20
deepseek/deepseek-chat,gain,no_explanation,100,0.96,0.24,0.77,0.11,0,0,4,7,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,100,29,0.29,32.64,0.34,0,0,100,96,0.8,0.6,10,10,0.6000000000000001,20
deepseek/deepseek-chat,gain,no_explanation,100,33,0.33,32.64,0.34,0,0,100,96,0.8,0.8,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,100,37,0.37,37.44,0.39,0,0,100,96,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,100,39,0.39,30.72,0.32,0,0,100,96,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,no_explanation,100,3500,1,3600,0.72,0,0,3500,5000,1,0.3,10,10,0.85,20
deepseek/deepseek-chat,gain,no_explanation,100,3500,1,3650,0.73,0,0,3500,5000,0.9,0,10,10,0.95,20
deepseek/deepseek-chat,gain,no_explanation,100,3500,1,3750,0.75,0,0,3500,5000,1,0.2,10,10,0.9,20
deepseek/deepseek-chat,gain,no_explanation,100,3500,1,3900,0.78,0,0,3500,5000,1,0.2,10,10,0.9,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,0.4,0.1,0.35,0.05,0,0,4,7,1,0.9,10,10,0.55,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,0.8,0.2,0.7,0.1,0,0,4,7,0.95,1,20,20,0.475,40
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,1.6,0.4,0.35,0.05,0,0,4,7,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,30,0.3,28.8,0.3,0,0,100,96,1,0.9,10,10,0.55,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,35,0.35,33.6,0.35,0,0,100,96,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,35,0.35,38.4,0.4,0,0,100,96,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,40,0.4,33.6,0.35,0,0,100,96,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,3500,1,2750,0.55,0,0,3500,5000,1,0.2,10,10,0.9,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,3500,1,3500,0.7,0,0,3500,5000,1,0,10,10,1,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,3500,1,3750,0.75,0,0,3500,5000,0.8,0.3,10,10,0.75,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,20,3500,1,4250,0.85,0,0,3500,5000,1,0.5,10,10,0.75,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,100,0.6,0.15,0.84,0.12,0,0,4,7,0.7,1,10,10,0.35,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,100,0.8,0.2,0.7,0.1,0,0,4,7,1,1,10,10,0.5,20
deepseek/deepseek-chat,gain,one_sentence_reasoning,100,0.88,0.22,0.56,0.08,0,0,4,7,1,0.9,10,10,0.55,20
